Model,Precision,Recall,F1-Score,PR-AUC,False Alarm Rate,Alert Rate,Scenario,Setting,Mean_Latency,P95_Latency,Throughput
DBSCAN,0.0024650780608052,8.26742359522694e-05,0.0001599829351535,,0.019054196160909,0.01217,S4_Sensitivity,eps0.1_min_samples10,,,
DBSCAN,0.0015576323987538,8.26742359522694e-05,0.0001570146285295,,0.0301822234080956,0.01926,S4_Sensitivity,eps0.1_min_samples20,,,
DBSCAN,0.0,0.0,0.0,,0.0012085445670428,0.00077,S4_Sensitivity,eps0.5_min_samples5,,,
DBSCAN,0.0,0.0,0.0,,0.0019148368464834,0.00122,S4_Sensitivity,eps0.5_min_samples10,,,
DBSCAN,0.0,0.0,0.0,,0.0027466921978246,0.00175,S4_Sensitivity,eps0.5_min_samples20,,,
DBSCAN,0.0,0.0,0.0,,0.0001412584558881,9e-05,S4_Sensitivity,eps1.0_min_samples5,,,
DBSCAN,0.0,0.0,0.0,,0.0002354307598135,0.00015,S4_Sensitivity,eps1.0_min_samples10,,,
DBSCAN,0.0,0.0,0.0,,0.0006749015114654,0.00043,S4_Sensitivity,eps1.0_min_samples20,,,
LOF,0.0468,0.012897180808554,0.0202216605094302,0.2568992615411626,0.1496084001695101,0.1,S4_Sensitivity,n_neighbors10,,,
LOF,0.0403,0.0111059056962548,0.0174130965497871,0.2577319465621967,0.1506286001287021,0.1,S4_Sensitivity,n_neighbors20,,,
LOF,0.0399,0.0109956733816518,0.0172402618445783,0.2601962278053903,0.1506913816646524,0.1,S4_Sensitivity,n_neighbors50,,,
IsolationForest,0.0,0.0,0.0,0.2717299405122956,0.1361260653241881,0.08673,S4_Sensitivity,n_estimators50_contaminationauto,,,
IsolationForest,0.0,0.0,0.0,0.2717299405122956,0.0152402178519297,0.00971,S4_Sensitivity,n_estimators50_contamination0.01,,,
IsolationForest,0.0,0.0,0.0,0.2717299405122956,0.0757302277400216,0.04825,S4_Sensitivity,n_estimators50_contamination0.05,,,
IsolationForest,0.0,0.0,0.0,0.2571980522843843,0.1292200963696576,0.08233,S4_Sensitivity,n_estimators100_contaminationauto,,,
IsolationForest,0.0,0.0,0.0,0.2571980522843843,0.0157110793715568,0.01001,S4_Sensitivity,n_estimators100_contamination0.01,,,
IsolationForest,0.0,0.0,0.0,0.2571980522843843,0.0756046646681211,0.04817,S4_Sensitivity,n_estimators100_contamination0.05,,,
IsolationForest,0.0,0.0,0.0,0.2606616557839606,0.132924206990724,0.08469,S4_Sensitivity,n_estimators200_contaminationauto,,,
IsolationForest,0.0,0.0,0.0,0.2606616557839606,0.0154756486117432,0.00986,S4_Sensitivity,n_estimators200_contamination0.01,,,
IsolationForest,0.0,0.0,0.0,0.2606616557839606,0.0758714861959097,0.04834,S4_Sensitivity,n_estimators200_contamination0.05,,,
